category,year,name
Physiology or Medicine,1947,Gerty Cori
Physiology or Medicine,1977,Rosalyn Yalow
Physiology or Medicine,1983,Barbara McClintock
Physiology or Medicine,1986,Rita Levi-Montalcini
Physiology or Medicine,1988,Gertrude Elion
Physiology or Medicine,1995,Christiane Nusslein-Volhard
Physiology or Medicine,2004,Linda Buck
Physiology or Medicine,2008,Francoise Barre-Sinoussi
Physiology or Medicine,2009,Elizabeth Blackburn
Physiology or Medicine,2009,Carol Greider
Physiology or Medicine,2014,May-Britt Moser
Physiology or Medicine,2015,Youyou Tu
Physics,1903,Marie Sklodowska Curie
Physics,1963,Maria Goepper-Mayer
Physics,2018,Donna Strickland
Physics,2020,Andrea Ghez
Chemistry,1911,Marie Sklodowska Curie
Chemistry,1935,Irene Joliot-Curie
Chemistry,1964,Dorothy Crowfoot Hodgkin
Chemistry,2009,Ada Yonath
Chemistry,2018,Frances Arnold
Chemistry,2020,Emmanuelle Charpentier
Chemistry,2020,Jennifer Doudna
Chemistry,2022,Carolyn Bertozzi
Economic Sciences,2009,Elinor Ostrom
Economic Sciences,2019,Esther Duflo
