name,type,gender
AJFM Brochant de Villiers,scholar,male
Allvar Gullstrand,laureate,male
Amiya Dasgupta,scholar,male
Almroth White,scholar,male
Arnold Eucken,scholar,male
Andrea Naccari,scholar,male
Arlie Todd,scholar,male
Arnold Dodol-Port,scholar,male
Avery Morton,scholar,male
Barrie Kitto,scholar,male
Bur Steinbach,scholar,male
Carroll Sparrow,scholar,Carroll Sparrow
Charley Riley,scholar,Carroll Sparrow
Conyers Herring,scholar,male
E.P. Volskii,scholar,male
EC Catalan,scholar,male
Eilhard Mitscherlich,scholar,male
Eilhard Wiedeman,scholar,male
Eli Burton,scholar,male
Ellis Dixon,scholar,male
Essaie Colladon,scholar,male
Farrington Daniels,scholar,male
G.N. Stewart,scholar,male
Gen-itsu Kita,scholar,male
Grigorri Fichtenholz,scholar,male
Guiseppi Biancani,scholar,male
Harusada Suginome,scholar,male
Ira Young,scholar,male
J.S. Wang,scholar,male
JMW Milatz,scholar,male
JNS Allamand,scholar,male
Jesse Dumond,scholar,male
Jesse Greenstein,scholar,male
Lauder Jones,scholar,male
Lee Travis,scholar,male
Leslie Harris,scholar,male
Ludwig Traube,scholar,male
Merle Battiste,scholar,male
Milislav Demerec,scholar,male
M.J. Farrell,scholar,male
Murray Saffran,scholar,male
Norris Hall,scholar,male
O. Lindberg,scholar,male
Ondess Inman,scholar,male
Pafnuty Chebychev,scholar,male
Raemer Renshaw,scholar,male
Reynerus Bontius,scholar,male
Riojun Kinosita,scholar,male
Robin Hochstrasser,scholar,male
Royal Stark,scholar,male
Sape Talma,scholar,male
Sydney Kay,scholar,male
Thadeusz Reichstein,laureate,male
Tenney Davis,scholar,male
Thorfin Hogness,scholar,male
Treat Johnson,scholar,male
Tsunetaro Kuijirai,scholar,male
Vilray Blair,scholar,male
Wisle Robinson,scholar,male
Wolferd Senguerd,scholar,male
Zhicen Lou,scholar,male
Zhores Alferov,laureate,male
